Name,Area,Deanery,P. O. Box,Diocese,Physical Address,Road,Ward,Constituency,County,Country,Coordinates,Telephone,email,Website,Facebook,Twitter,Instagram,Youtube,Sunday,Weekdays,Public Holidays,Confession,Adoration,Baptism,Parish Priest,Asst. 1,Asst. 2,Asst. 3,Asst. 4,Office Hours
Our Lady of Guadalupe,Adams Arcade,Western,"21245, 00505 Ngong Rd",Nairobi,,,,,,,"-1.301220, 36.779352",,,,,,,,"Kis. 7:00 am and 11:00 am; Eng. 9:00 am, 1:00 pm and 5:00 pm","Mon - Fri 7:00 am, 1:15 pm and 5:30 pm; Sat 7:00 am and 5:00 pm",9:00 am,Mon - Fri 5:00 pm; Sat 4:00 pm,,,,,,,,
All Saints,Komothai,Githurai,"213, 00901 Ngewa",Nairobi,,,,,,,"-1.062226, 36.858448",,,,,,,,,,,,,,,,,,,
Our Lady of Mt. Carmel,Ngarariga,Limuru,"220, 00217 Limuru",Nairobi,,,,,,,"-1.083528, 36.616821",,,,,,,,,,,,,,,,,,,
St. Catherine of Sienna,Kitisuru,Central,"230, 00621 Village Market",Nairobi,,,,,,,"-1.233868, 36.774682",,,www.stcatherineofsiena.co.ke,,,,,Eng. 8:00 am and 10:00 am; Kis. 12:00 pm,Mon - Fri 6:00 pm; Sat 8:00 am,10:00 am,,Thursday 5:00 pm,,,,,,,
Our Lady of the Rosary,Ruku,Kikuyu,"23020, 00604 Lower Kabete",Nairobi,,,,,,,"-1.211283, 36.696807",0746111501,,,,,,,Kis. 7:00 am; Kikuyu 10:00 am,Daily 7:00 am,8:00 am,Saturday 4:00 pm,Thursday 6:30 am,,,,,,,
Holy Eucharist,King’eero,Kikuyu,"23228, 00604 Lower Kabete",Nairobi,,,,,,,"-1.228248, 36.706295",,,,,,,,,,,,,,,,,,,
Holy Trinity,Buruburu,Makadara,"233, 00515 Buruburu",Nairobi,,,,,,,"-1.276427, 36.875401",,,,https://www.facebook.com/Holytrinityburu/,,,,Kis. 7:00 am and 12:00 pm; Eng. 8:30 am and 12:00 pm,Daily 6:30 am,,Saturday 5:00 pm; Wed 7 am,Wednesday 5:00 am,,Fr. Ignatius Njue,Fr. Stephen Gitau,,,,
St. Joseph the Worker,Kangemi,Western,"23408, 00625 Kangemi",Nairobi,,,,,,,"-1.275001, 36.740300",,,,,,,,"Kis. 7:30 am, 8:45 am and 10:30 am; Eng. 12:00 pm",Daily 7:00 am,8:30 am; Solemnities 5:30 pm,Last Sat of the Month 5:30 pm,,,,,,,,
Regina Caeli,Karen,Western,"24391, 00502 Karen",Nairobi,,,,,,,"-1.326266, 36.710833",0707 456 986 / 0733 808 702,ourladyqueenkaren@gmail.com,www.reginacaelikaren.org,,,,,"Eng. 7:30 am, 9:30 am and 5 pm; Kis. 11:30 am","Mon - Fri Eng. 6:45 am, 1:15 pm and 5:15 pm",,Daily 4:30 pm,,,,,,,,
St. Teresa of Avila,Gachege,Mang'u,"245, 01004, Kanjuku.",Nairobi,,,,,,,"-0.909631, 36.809002",,,,,,,,,,,,,,,,,,,
St. Austin,Muthangari,Central,"252, 00606 Sarit Centre",Nairobi,,,,,,,"-1.264627, 36.778107",,info@staustinschurch.or.ke,https://staustinschurch.or.ke/,https://www.facebook.com/St-Austin-Catholic-Church-Nairobi-216245345158369/,https://twitter.com/st_austinnrb?s=09,,https://youtube.com/channel/UCcnXhC3NXyWqh3z7h1MG8eg,"Eng. 7:00 am, 10:00 am, 11:30 am and 5:00 pm; Kis. 8:30 am",Mon - Fri Eng. 7:00 am and 5:45 pm; Sat Eng.7:00 am and 5:30 pm,9:30 am,Sat 3 pm and Sun 30 mins before Mass,,,,,,,,
St. Stephen,Ituru,Gatundu,"256, 01030 Gatundu",Nairobi,,,,,,,"-0.993938, 36.900839",,,,,,,,9:00 am,Daily 7:00 am,,,,,,,,,,
Holy Trinity,Kileleshwa,Central,"25732, 00603 Lavington Nairobi",Nairobi,,,,,,,"-1.281994, 36.780120",020 815 8460,info@holytrinitykileleshwa.org,http://holytrinitykileleshwa.org/,,,,,"Kis. 7:00 am; Eng. 8:30 am, 10:15 am, 12:00 pm and 5:00 pm",Mon - Fri Eng. 6:45 am and 6:00 pm; Sat Eng. 9:00 am and 5:00 pm,,30 minutes before each Mass,,,,,,,,
St. Peter,Nyamang'ara,Mang'u,"2629, Thika.",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Nativity of our Lady,Kagwe,Githurai,"265, 00900 Kiambu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ the King,Karinga,Gatundu,"273, 01030 Gatundu",Nairobi,,,,,,,"-0.952709, 36.834600",,,,,,,,,,,,,,,,,,,
St. John the Baptist,Munyu-ini,Gatundu,"273, 01030 Gatundu",Nairobi,,,,,,,"-0.944340, 36.781843",,,,,,,,,,,,,,,,,,,
Uganda Martyrs,Gatundu,Gatundu,"29, 01030 – Gatundu",Nairobi,,,,,,,"-1.014872, 36.909555",,,,,,,,Kikuyu 7:00 am and 9:00 pm; Kis. 11:00 am,Tue - Sat 6:30 am,,Sat 4:00 pm,Thursday 6:00 am,,,,,,,
St. John the Baptist,Mang'u,Mang'u,"298, 01000 Thika",Nairobi,,,,,,,"-0.988278, 36.949390",,,,,,,,,,,,,,,,,,,
Assumption of Mary,Umoja,Outering,"30815, 00100 Nairobi",Nairobi,,,,,,,"-1.281728, 36.888193",,,,,,,,"7:00 am, 9:00 am and 11:00 am","Mon and Fri 7:00 pm; Tue, Thu and Sat 6:45 am",,Sat 5:00 pm,,,,,,,,
Presentation of the Lord,Juja Farm,Ruiru,315 Kalimoni,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Benedict,Thika Road,Ruaraka,"32101, 00600 Ngara Rd",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mary’s,Mukuru,Makadara,"3232, 00506 Nyayo Stadium",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Patrick’s,Thika,Thika,"33, 01000 Thika",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Mulumba,Thika,Thika,"3395, 01000 Thika",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Maria Magdalene,Munyu,Thika,"3396, Thika",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Catherine of Alexandria,South C,Central,"3663, 00506 Nyayo Stadium",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis,Ruiru town,Ruiru,"384, 00232 Ruiru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Immaculate Conception,Gicharani,Kikuyu,"404, 00902 Kikuyu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Family Basilica,Nairobi CBD,Central,"40891, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter Claver’s,Nairobi CBD,Central,"41065, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Michael’s,Otiende,Western,"41418, 00100 Nairobi.",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Paul’s Chapel,University of Nairobi,Central,"41512, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Magdalene,Kariokor,Makadara,"41520 – 00100, Nairobi.",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Andrews,Rironi,Limuru,"423, Limuru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Blessed Sacrament,BuruBuru,Makadara,"42454, 00515 Buruburu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Archangel Gabriel,Mutomo,Gatundu,"425, 01030 Gatundu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Teresa’s,Eastleigh,Makadara,"42603, 00610, Eastleigh",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Word,Kayole,Eastern,"433, 00518 Kayole",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Assumption,Kambaa,Githurai,"436, 00216 Githunguri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of Victories,Lioki,Kiambu,"44, 00900, Kiambu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Holy Rosary,Kamwangi,Mang'u,"44, 01004 Kanjuku",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Charles Lwanga,Kamirithu,Limuru,"457, 00217 Limuru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Francis,Limuru,Limuru,"468, 00217 Limuru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Annunciation,Gatitu,Gatundu,"47, 01030 Gatundu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Spirit,Miguta,Githurai,"471, 00216 Githunguri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Stephen,Kairi,Mang'u,"477,01007 Kairi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Trinity,Kariobangi,Outering,"47714, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,Jericho,Makadara,"48069, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen of Apostles,Ruaraka,Ruaraka,"48409, 00618 Ruaraka",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of Fatima,Kiriko,Mang'u,"49, 01000 Thika",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Jude,Donholm,Outering,"53576, 00100 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph the Worker,Kereita,Limuru,"54, 00222 Uplands",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross,Dandora,Outering,"58078, 00200 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of the Holy Rosary,Ting'ang'a,Kiambu,"601, 00900 Kiambu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady Queen of Peace,South B,Central,"60311, 00200 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter,Ruai,Eastern,"606 – 00518, Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Innocents,Tassia,Outering,60827 - 00200 Nairobi,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Augustine,Juja,Ruiru,"62000, 00300 Ronald Ngala",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Bosco Shrine of Mary Help of Christians,Upper Hill,Central,"62322,00200 Nairobi",Nairobi,,Lower Hill Road,,,Nairobi,Kenya,,0202714622; 0722231663,,,,,,,7:15 am; 9:15 am; 11:30 am; 5:00 pm,Weekdays 7:15 am; 1:15 pm; 6:00 pm; Saturday 7:15 am; 6:00 pm,7:15 am; ,12:00 pm to 1:00 pm,,,,,,,,
St. Joseph,Limuru,Limuru,"63, 00217 Limuru",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Anne,Mataara,Mang'u,"650, 01009 Mataara",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clare,Kasarani,Ruaraka,"65103, 00618 Ruaraka",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother of God,Githurai,Ruaraka,"65109, 00618 Ruaraka",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,Baba dogo,Ruaraka,65125 00618 Village Market,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph Mukasa,Kahawa West,Ruaraka,"65588, 00607 Kamiti",Nairobi,,,,,,,"-1.186323, 36.905073",0748401448,,,,,,,"Eng. 7:00 am, Kis. 9:00 am and 11:00 am",Daily 7:00 am,8:00 am,Saturday 3 pm - 5 pm,Thursday 6:00 pm,,,,,,,
St. Joseph,Kiganjo,Gatundu,"659, 01030 Gatundu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Mercy,Kariobangi,Outering,"717, 00515 Buruburu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of Visitation,Makadara,Makadara,"72661, 00200 Nairobi.",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,Muguga,Kikuyu,"731, 00902 Kikuyu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Theresa of the Child Jesus,Ngenya,Githurai,"740, 00216 Githunguri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,Gathanga,Kiambu,"774, 00219 Karuri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Martin de Porres,Karuri,Kiambu,"78, 00219 Karuri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,Mutunguru,Gatundu,"785, 01030 Gatundu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Charles Lwanga,Waithaka,Kikuyu,"79024, 00400 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter & Paul,Kiambu,Kiambu,"8, 00900 Kiambu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ The King,Githurai Kimbo,Ruaraka,"818, 00618 Ruaraka",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Monicah,Njiru,Eastern,85 - 90115 Nairobi,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent de Paul,Kamulu,Eastern,"8827, 00200 Nairobi",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter the Apostle,Kikuyu,Kikuyu,"888, 00902 Kikuyu",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy Family,Githunguri,Githurai,"9, 00216 Githunguri",Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter the Rock,Kinoo,Kikuyu,P. O. Box 419-00605 Uthiru,Nairobi,,,,,,,,,,,,,,,,,,,,,,,,,,
Our Lady Mary Consolata,Riara Ridge,,,Nairobi,,,,,,,"-1.136782, 36.726744",,,,,,,,9:30 am,,,,Thursday 4:30 pm,,,,,,,
St. Vincent Pallotti,Dagoretti,,"21200, 00505 Nairobi",Nairobi,,,,,,,"-1.300909, 36.754467",0723591985,sacredheartparishdagoretti@gmail.com,,,,,,Kis. 7:00 am and 9:00 am; Eng. 11:00 am,Daily 7:00 am,,"Tue, Fri, Sat 7:30 am - 8:00 am",Tue and Fri 7:30 am,,,,,,,
Lower Kabete Campus,,,,,,,,,,,,,,,,,,,11:00 am,Tuesday 8:00 pm,,,,,,,,,,
